                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    162,                0.73537,                 1.2575,                0.46214,                0.94827,                0.69923,                0.54995,                0.59736,                0.34131,                0.61641,                0.50772,                0.49978,                0.19986,                 1.6177,                 2.5943,                 1.2685,                 1.7022,               0.008416,               0.008416,               0.008416
                    163,                0.73518,                 1.2661,                0.45855,                0.95305,                0.68209,                0.56437,                0.59871,                0.33286,                 0.6273,                0.51307,                0.50707,                 0.1992,                 1.6118,                 2.7039,                 1.2444,                 1.7306,              0.0084061,              0.0084061,              0.0084061
                    164,                0.73914,                 1.2809,                0.46292,                0.95374,                0.72383,                0.54789,                0.60185,                0.34007,                0.66337,                0.49537,                0.50717,                0.20009,                  1.652,                 2.7217,                 1.2841,                 1.7306,              0.0083962,              0.0083962,              0.0083962
                    165,                0.73782,                 1.2632,                0.45716,                0.94853,                0.71154,                0.53141,                 0.5921,                0.32878,                0.61626,                0.51287,                 0.4954,                0.18994,                 1.6072,                 2.7114,                 1.3145,                 1.6787,              0.0083863,              0.0083863,              0.0083863
                    166,                0.73802,                 1.2608,                0.45964,                0.94889,                0.69892,                0.57158,                0.59911,                0.34376,                0.64802,                0.50978,                 0.5088,                0.20017,                 1.6049,                 2.6439,                  1.272,                 1.6795,              0.0083764,              0.0083764,              0.0083764
                    167,                0.73637,                 1.2745,                0.46447,                0.95584,                0.62472,                0.59147,                0.59684,                0.34136,                0.62353,                0.48784,                0.50332,                0.20081,                 1.6239,                 2.7241,                 1.2528,                  1.709,              0.0083665,              0.0083665,              0.0083665
                    168,                0.72054,                 1.2517,                0.45985,                0.94891,                0.64821,                0.60041,                0.61351,                0.34971,                0.58817,                 0.5448,                0.51392,                 0.2089,                  1.627,                 2.7284,                 1.1864,                 1.7174,              0.0083566,              0.0083566,              0.0083566
                    169,                0.72935,                 1.2569,                0.45714,                0.95106,                 0.6775,                0.57673,                0.60346,                0.33805,                0.62713,                0.53347,                0.51497,                0.19998,                 1.5918,                 2.6941,                 1.2047,                 1.6952,              0.0083467,              0.0083467,              0.0083467
                    170,                0.73184,                 1.2598,                0.45488,                0.95032,                0.71045,                0.58372,                0.62108,                 0.3494,                0.65906,                0.52317,                0.52014,                0.20926,                 1.6303,                 2.6718,                 1.1827,                 1.7143,              0.0083368,              0.0083368,              0.0083368
                    171,                0.72264,                 1.2364,                0.45706,                0.94248,                0.69218,                0.55716,                0.59905,                0.34203,                0.62851,                0.50566,                0.51487,                  0.199,                  1.577,                 2.6892,                 1.2406,                 1.6697,              0.0083269,              0.0083269,              0.0083269
                    172,                0.72768,                 1.2614,                0.45458,                0.94966,                0.62914,                0.58084,                0.56769,                0.31817,                0.57668,                0.52008,                0.47378,                0.18921,                 1.6229,                 2.7265,                 1.2762,                 1.6945,               0.008317,               0.008317,               0.008317
                    173,                0.71569,                 1.2405,                0.44777,                0.94747,                0.68736,                0.55304,                0.58282,                0.33033,                0.62415,                0.50257,                 0.4923,                0.19259,                 1.6342,                 2.7734,                 1.2621,                 1.7079,              0.0083071,              0.0083071,              0.0083071
                    174,                0.72881,                 1.2495,                 0.4515,                0.94896,                0.64957,                0.58187,                0.59036,                0.33296,                0.61604,                0.52626,                0.51288,                0.19929,                 1.6398,                 2.7328,                 1.2947,                 1.7276,              0.0082972,              0.0082972,              0.0082972
                    175,                0.72948,                 1.2567,                0.45844,                0.95014,                0.70362,                0.53759,                0.58985,                0.33299,                0.67066,                0.51184,                0.51741,                 0.2004,                 1.6473,                 2.7108,                 1.2502,                 1.7569,              0.0082873,              0.0082873,              0.0082873
                    176,                 0.7205,                 1.2425,                0.45154,                0.94536,                 0.6865,                0.57959,                0.59801,                0.33206,                0.62644,                 0.5448,                0.52074,                0.20069,                 1.6168,                 2.6077,                  1.234,                 1.7188,              0.0082774,              0.0082774,              0.0082774
                    177,                0.72053,                 1.2279,                0.45198,                0.95093,                0.70206,                0.56746,                0.60904,                 0.3442,                0.64578,                0.52523,                0.52194,                0.20222,                 1.6074,                 2.6522,                 1.2454,                 1.6849,              0.0082675,              0.0082675,              0.0082675
                    178,                 0.7216,                   1.24,                0.44713,                0.94821,                 0.6901,                0.56875,                0.60192,                0.33531,                   0.66,                0.50051,                0.51573,                0.19841,                 1.6563,                  2.696,                 1.2677,                 1.7337,              0.0082576,              0.0082576,              0.0082576
                    179,                0.72079,                 1.2437,                 0.4505,                0.94448,                0.67651,                0.59217,                0.61819,                0.34424,                0.62396,                0.54583,                0.52384,                 0.2094,                 1.6341,                 2.7368,                  1.211,                 1.7068,              0.0082477,              0.0082477,              0.0082477
                    180,                 0.7168,                 1.2134,                0.45325,                0.94663,                0.72094,                0.57261,                0.62315,                0.33984,                0.59756,                0.55716,                0.51624,                0.19863,                 1.6458,                 2.6983,                 1.1871,                 1.7404,              0.0082378,              0.0082378,              0.0082378
                    181,                 0.7177,                 1.2298,                 0.4496,                0.94754,                0.70021,                0.55807,                0.60344,                0.32993,                 0.6409,                0.51281,                0.50921,                0.19749,                 1.6249,                 2.7605,                 1.2486,                 1.7101,              0.0082279,              0.0082279,              0.0082279
                    182,                0.71582,                 1.2307,                0.45016,                0.94575,                0.66111,                 0.6241,                0.62185,                0.34868,                0.59984,                0.55819,                0.51295,                0.20706,                 1.6025,                  2.733,                 1.1629,                 1.6893,               0.008218,               0.008218,               0.008218
                    183,                0.71041,                 1.2163,                 0.4477,                0.93733,                0.67998,                0.60178,                0.61319,                0.33847,                 0.6242,                0.54171,                0.51669,                0.19964,                 1.6414,                 2.7081,                 1.3062,                 1.7203,              0.0082081,              0.0082081,              0.0082081
                    184,                0.71582,                 1.2269,                0.44931,                0.94399,                 0.6568,                0.59835,                0.61005,                0.33895,                0.58894,                0.55613,                0.52554,                0.20885,                 1.6572,                 2.6412,                 1.2962,                 1.7055,              0.0081982,              0.0081982,              0.0081982
                    185,                0.71463,                  1.227,                0.45035,                0.94294,                0.71407,                0.57869,                0.61584,                0.34587,                0.63431,                 0.5242,                0.51742,                0.20721,                 1.6196,                 2.6531,                  1.188,                 1.6926,              0.0081883,              0.0081883,              0.0081883
                    186,                0.70756,                 1.2095,                0.44216,                0.93929,                0.72496,                0.53656,                0.59083,                0.32992,                0.65397,                0.48507,                0.49121,                0.19185,                 1.6682,                 2.7047,                 1.3633,                 1.7392,              0.0081784,              0.0081784,              0.0081784
                    187,                0.70705,                   1.21,                0.44133,                0.93983,                0.68992,                0.56025,                0.58053,                0.31943,                0.63075,                0.50772,                0.49131,                0.19233,                 1.6496,                  2.705,                 1.3885,                 1.7429,              0.0081685,              0.0081685,              0.0081685
                    188,                0.70361,                 1.2122,                0.44133,                0.94058,                0.70904,                0.56437,                0.60435,                0.34615,                0.65752,                0.51493,                0.53263,                0.21737,                 1.5998,                 2.6791,                 1.3628,                 1.6989,              0.0081586,              0.0081586,              0.0081586
                    189,                0.70712,                 1.2215,                0.43836,                0.94024,                0.68147,                0.54995,                0.58986,                0.33486,                0.63377,                0.51596,                0.51078,                0.19867,                 1.6369,                 2.7501,                 1.3876,                 1.7555,              0.0081487,              0.0081487,              0.0081487
                    190,                0.70205,                 1.2048,                0.43766,                0.94217,                0.66813,                0.57055,                0.60307,                0.35041,                0.61714,                0.51961,                0.51949,                0.21469,                 1.6116,                 2.7148,                 1.3415,                 1.7186,              0.0081388,              0.0081388,              0.0081388
                    191,                0.69912,                  1.199,                 0.4373,                0.93623,                 0.7112,                0.55819,                0.59748,                0.34477,                 0.6422,                0.53347,                0.52682,                0.20842,                  1.633,                 2.7117,                 1.3181,                 1.7449,              0.0081289,              0.0081289,              0.0081289
                    192,                0.70633,                 1.2071,                 0.4386,                0.94342,                0.68817,                0.54775,                0.58539,                0.33056,                0.63262,                0.50187,                0.50187,                0.19738,                 1.6495,                 2.7034,                 1.2811,                  1.759,               0.008119,               0.008119,               0.008119
                    193,                0.70202,                 1.2019,                0.43986,                0.94074,                0.67469,                0.55613,                0.59373,                0.33629,                0.62327,                0.52138,                0.50741,                0.20059,                 1.6113,                 2.7301,                 1.2977,                 1.7208,              0.0081091,              0.0081091,              0.0081091
                    194,                0.70084,                 1.1928,                0.43499,                0.94058,                0.72762,                0.55573,                0.59853,                 0.3377,                0.67481,                0.51504,                0.51123,                0.19918,                 1.6266,                 2.7416,                  1.225,                 1.7142,              0.0080992,              0.0080992,              0.0080992
                    195,                0.69681,                 1.1933,                0.43858,                 0.9383,                0.68378,                0.57158,                0.60993,                0.34302,                0.61853,                0.54377,                0.52008,                0.20532,                 1.6226,                 2.6992,                 1.2635,                 1.7027,              0.0080893,              0.0080893,              0.0080893
                    196,                0.70268,                 1.2125,                0.43696,                0.94049,                0.68605,                0.59638,                0.62986,                0.35731,                0.65253,                0.55201,                0.55515,                0.22015,                 1.6335,                 2.6641,                 1.2424,                 1.7305,              0.0080794,              0.0080794,              0.0080794
                    197,                0.68818,                 1.1839,                0.43188,                0.93593,                0.72355,                0.56643,                0.61858,                0.35102,                0.66272,                0.52412,                0.52432,                0.21103,                 1.6268,                 2.6581,                 1.2712,                  1.734,              0.0080695,              0.0080695,              0.0080695
                    198,                0.69194,                 1.1923,                0.43531,                0.93579,                0.69328,                 0.5654,                0.61976,                0.35238,                0.65077,                0.53038,                0.53385,                0.21684,                 1.6086,                 2.7773,                 1.2329,                 1.7167,              0.0080596,              0.0080596,              0.0080596
                    199,                0.69024,                 1.1836,                0.43452,                0.93659,                0.67564,                0.58393,                0.61021,                0.35158,                 0.6196,                0.52832,                0.51918,                0.21011,                 1.6021,                 2.7245,                 1.3054,                 1.6885,              0.0080497,              0.0080497,              0.0080497
                    200,                0.69788,                 1.1914,                 0.4321,                0.94088,                0.67423,                0.58393,                0.60653,                0.34847,                0.62191,                0.53862,                0.52983,                0.20661,                 1.6477,                 2.8239,                 1.2572,                 1.7459,              0.0080398,              0.0080398,              0.0080398
                    201,                0.69424,                 1.1895,                0.43454,                0.93292,                0.68622,                0.54956,                0.58568,                0.33376,                0.64511,                0.49846,                0.50751,                 0.1999,                 1.6277,                 2.7143,                 1.3002,                 1.7285,              0.0080299,              0.0080299,              0.0080299
                    202,                0.69722,                 1.1876,                0.43556,                0.93488,                 0.6674,                0.60041,                0.60059,                0.33987,                0.61368,                0.55304,                0.50719,                0.19949,                 1.6168,                 2.6794,                 1.2098,                 1.6965,                0.00802,                0.00802,                0.00802
                    203,                0.68926,                 1.1846,                0.43413,                 0.9338,                0.70245,                0.57055,                0.59702,                0.33794,                0.63934,                0.52832,                0.51369,                0.19627,                 1.6254,                 2.6909,                 1.2826,                 1.7028,              0.0080101,              0.0080101,              0.0080101
                    204,                 0.6932,                 1.1936,                0.43383,                0.93487,                0.70188,                 0.5601,                0.59519,                0.33647,                0.62954,                0.50578,                0.49348,                0.19594,                 1.6252,                 2.7074,                  1.292,                 1.7008,              0.0080002,              0.0080002,              0.0080002
                    205,                0.69749,                 1.1832,                0.43214,                0.93647,                0.67839,                0.56048,                0.57257,                0.32478,                0.61261,                0.50463,                0.48765,                0.19101,                 1.6273,                 2.8204,                  1.427,                 1.7137,              0.0079903,              0.0079903,              0.0079903
                    206,                0.69104,                 1.1856,                0.43037,                0.93403,                0.66633,                0.57261,                0.58006,                0.32933,                 0.6273,                0.52214,                0.49765,                0.19497,                 1.6349,                 2.7437,                 1.3404,                  1.734,              0.0079804,              0.0079804,              0.0079804
                    207,                0.68143,                 1.1654,                0.42504,                0.93181,                0.66802,                0.57197,                0.58714,                 0.3375,                0.60748,                0.53038,                0.50068,                0.20004,                 1.6466,                 2.7791,                 1.3929,                 1.7694,              0.0079705,              0.0079705,              0.0079705
                    208,                0.68972,                 1.1838,                0.42968,                0.93552,                0.67742,                0.56334,                0.59973,                0.34814,                0.63878,                0.50669,                0.51752,                0.20584,                 1.6599,                 2.7949,                 1.3876,                 1.7683,              0.0079606,              0.0079606,              0.0079606
                    209,                0.69557,                 1.1886,                0.43459,                0.93818,                0.67959,                0.56952,                0.59967,                0.35107,                0.62627,                0.51287,                0.50068,                0.20441,                 1.6068,                 2.8569,                 1.3009,                 1.6847,              0.0079507,              0.0079507,              0.0079507
                    210,                 0.6942,                 1.1843,                0.43043,                0.93595,                0.74699,                0.52626,                0.61072,                0.35318,                0.63187,                0.52832,                0.52163,                0.20713,                 1.6233,                 2.7906,                 1.3227,                  1.686,              0.0079408,              0.0079408,              0.0079408
                    211,                0.68106,                 1.1678,                0.42604,                0.93332,                 0.6517,                0.60453,                0.61776,                0.35555,                0.65649,                0.51764,                0.53019,                0.21234,                 1.5815,                   2.75,                 1.2967,                 1.6873,              0.0079309,              0.0079309,              0.0079309
                    212,                 0.6899,                 1.1679,                0.42946,                0.93145,                0.71043,                0.57103,                0.62432,                0.35731,                 0.6613,                0.52626,                  0.541,                0.21173,                 1.6046,                 2.7384,                   1.27,                 1.7189,               0.007921,               0.007921,               0.007921
                    213,                0.68942,                 1.1806,                0.42803,                0.93562,                0.72007,                0.52452,                0.60494,                0.34581,                0.61076,                0.50772,                 0.5066,                 0.2057,                 1.6079,                 2.7502,                 1.2814,                 1.6866,              0.0079111,              0.0079111,              0.0079111
                    214,                 0.6838,                 1.1591,                0.42645,                  0.932,                0.64699,                0.57673,                0.60055,                0.33923,                0.64681,                0.48919,                0.49449,                0.19765,                 1.6463,                 2.7497,                 1.4558,                 1.7141,              0.0079012,              0.0079012,              0.0079012
                    215,                0.67757,                 1.1514,                0.42135,                0.93102,                0.68547,                0.56952,                0.60744,                0.35096,                0.64406,                0.50875,                0.50846,                0.20223,                 1.6226,                  2.731,                 1.3099,                 1.7118,              0.0078913,              0.0078913,              0.0078913
                    216,                 0.6806,                 1.1613,                0.42297,                 0.9318,                0.68879,                0.52317,                0.57955,                0.32604,                0.61633,                 0.4861,                0.49071,                0.19305,                 1.6157,                 2.7322,                 1.3761,                 1.7263,              0.0078814,              0.0078814,              0.0078814
                    217,                0.68009,                  1.164,                0.42524,                0.93153,                0.64916,                0.56952,                0.58249,                0.32658,                0.59046,                0.51596,                0.48557,                0.19066,                 1.6184,                 2.7712,                 1.3339,                  1.721,              0.0078715,              0.0078715,              0.0078715
                    218,                0.68749,                 1.1707,                0.42986,                0.93354,                0.68172,                0.55367,                0.58468,                0.33164,                0.62231,                0.50463,                0.48687,                0.19609,                 1.6096,                 2.7787,                 1.3005,                 1.7157,              0.0078616,              0.0078616,              0.0078616
                    219,                0.68159,                 1.1641,                0.42734,                0.93411,                 0.6717,                0.57467,                0.60373,                0.35188,                 0.6109,                0.52729,                 0.5157,                 0.2076,                 1.6101,                 2.8088,                 1.2907,                 1.7001,              0.0078517,              0.0078517,              0.0078517
                    220,                0.68009,                 1.1637,                0.42778,                0.93039,                0.67299,                0.59345,                0.61609,                0.35759,                0.62206,                0.53656,                0.52069,                0.21285,                 1.5848,                 2.7654,                 1.2924,                 1.7133,              0.0078418,              0.0078418,              0.0078418
                    221,                0.67464,                 1.1419,                 0.4242,                0.92871,                 0.7033,                 0.5829,                  0.631,                0.36517,                0.66428,                 0.5345,                0.55186,                 0.2171,                 1.5896,                 2.7839,                 1.2605,                  1.716,              0.0078319,              0.0078319,              0.0078319
                    222,                0.68297,                 1.1577,                0.42467,                0.93025,                0.66063,                0.60343,                0.62102,                 0.3548,                0.59827,                0.54448,                0.52065,                0.20882,                 1.6097,                 2.8008,                 1.3206,                 1.7179,               0.007822,               0.007822,               0.007822
                    223,                0.66671,                  1.141,                0.41635,                0.92726,                0.71177,                0.57055,                 0.6137,                0.35154,                 0.6651,                0.50928,                0.52783,                0.21419,                 1.5917,                  2.838,                 1.3381,                 1.7007,              0.0078121,              0.0078121,              0.0078121
                    224,                0.68123,                 1.1633,                0.42267,                0.93362,                0.65589,                0.58692,                0.60093,                0.34748,                0.65339,                0.51252,                0.51948,                0.20439,                 1.5945,                 2.7849,                 1.3138,                  1.695,              0.0078022,              0.0078022,              0.0078022
                    225,                0.66572,                 1.1534,                0.41922,                0.92671,                0.73167,                0.54686,                0.61498,                0.35095,                0.68193,                0.50564,                0.53286,                0.20892,                 1.6044,                 2.7676,                 1.3607,                 1.6937,              0.0077923,              0.0077923,              0.0077923
                    226,                0.67258,                 1.1498,                0.42043,                0.92936,                0.69235,                0.58084,                0.61813,                0.35487,                0.62878,                0.52935,                0.52393,                0.21237,                 1.6296,                 2.7899,                 1.2787,                  1.727,              0.0077824,              0.0077824,              0.0077824
                    227,                 0.6706,                 1.1557,                0.42266,                0.92792,                0.72281,                0.56952,                0.62403,                0.35108,                0.65588,                0.52017,                0.52973,                0.20838,                 1.6296,                 2.7997,                 1.2291,                 1.7251,              0.0077725,              0.0077725,              0.0077725
                    228,                0.66651,                 1.1331,                0.42141,                0.92634,                0.70319,                0.56643,                0.61277,                0.34835,                0.62757,                0.50847,                0.51863,                 0.2087,                 1.6413,                 2.7549,                 1.2593,                 1.7387,              0.0077626,              0.0077626,              0.0077626
                    229,                0.66561,                 1.1382,                0.41703,                0.92517,                0.70296,                0.53038,                0.58783,                0.33019,                0.60844,                 0.5073,                0.50197,                0.20248,                 1.6068,                 2.7572,                 1.3128,                 1.7108,              0.0077527,              0.0077527,              0.0077527
                    230,                 0.6718,                 1.1519,                 0.4203,                0.92674,                0.67842,                0.56925,                0.60041,                0.34248,                0.62209,                0.52554,                 0.5164,                0.20449,                 1.5861,                 2.8326,                 1.2433,                 1.6771,              0.0077428,              0.0077428,              0.0077428
                    231,                0.66541,                 1.1396,                0.41732,                0.92907,                0.66911,                0.55716,                0.60178,                0.34461,                0.59683,                0.51905,                0.50337,                0.20144,                 1.5677,                 2.8652,                 1.2685,                 1.6808,              0.0077329,              0.0077329,              0.0077329
                    232,                0.66718,                  1.155,                0.41635,                0.92689,                0.65012,                0.58084,                0.59934,                0.35112,                0.62763,                0.52111,                0.52014,                 0.2118,                 1.5855,                  2.827,                 1.2201,                 1.6922,               0.007723,               0.007723,               0.007723
                    233,                0.66388,                 1.1484,                0.41872,                0.92987,                0.67686,                0.55008,                0.58776,                0.34443,                0.61994,                0.50396,                0.51016,                0.20401,                 1.5946,                 2.8367,                 1.3272,                 1.6834,              0.0077131,              0.0077131,              0.0077131
                    234,                0.66502,                 1.1427,                0.41548,                0.92852,                0.66479,                0.57392,                0.58313,                0.33611,                 0.6342,                0.48209,                0.48785,                0.19581,                 1.6079,                 2.8587,                 1.3593,                 1.7391,              0.0077032,              0.0077032,              0.0077032
                    235,                0.67623,                 1.1637,                0.42141,                0.93279,                0.69648,                0.54274,                0.58691,                0.33815,                0.63386,                0.50634,                0.50188,                0.20424,                 1.6117,                  2.795,                 1.3646,                 1.7231,              0.0076933,              0.0076933,              0.0076933
                    236,                0.66481,                 1.1422,                0.41696,                0.92532,                0.66315,                0.59732,                0.62131,                 0.3592,                0.66273,                 0.5221,                0.53366,                0.21543,                 1.5624,                 2.7481,                 1.2308,                 1.6884,              0.0076834,              0.0076834,              0.0076834
                    237,                0.65783,                 1.1155,                0.41044,                0.92198,                 0.6803,                0.56849,                 0.5885,                0.34354,                0.62739,                0.52008,                0.50591,                0.20152,                 1.5761,                 2.8269,                 1.3335,                 1.6908,              0.0076735,              0.0076735,              0.0076735
                    238,                0.67078,                 1.1507,                0.41674,                0.92681,                0.70655,                 0.5757,                0.61118,                0.35533,                0.66093,                0.53399,                0.53828,                0.21082,                 1.5907,                 2.8547,                    1.3,                 1.7178,              0.0076636,              0.0076636,              0.0076636
                    239,                0.65953,                 1.1314,                0.41168,                0.92586,                0.69332,                0.58207,                0.61984,                0.35571,                0.64009,                 0.5448,                0.52938,                0.21003,                  1.608,                 2.9008,                 1.2534,                 1.7551,              0.0076537,              0.0076537,              0.0076537
                    240,                0.66033,                 1.1305,                0.41454,                0.92254,                0.68158,                0.57976,                0.61181,                0.34709,                0.63536,                0.52218,                0.51768,                0.20564,                 1.5978,                 2.7973,                 1.3265,                 1.7227,              0.0076438,              0.0076438,              0.0076438
                    241,                0.65555,                 1.1141,                0.41174,                0.92291,                0.67714,                0.55304,                0.59041,                0.34026,                0.64627,                0.52626,                0.52084,                0.20293,                 1.5982,                 2.8216,                 1.3396,                 1.6937,              0.0076339,              0.0076339,              0.0076339
                    242,                0.65834,                 1.1114,                0.41119,                0.92558,                0.70259,                0.54497,                0.58665,                0.34198,                0.65477,                 0.5036,                0.51404,                0.20251,                 1.6087,                 2.8797,                  1.329,                 1.7161,               0.007624,               0.007624,               0.007624
                    243,                0.66501,                 1.1231,                0.41357,                0.92534,                0.66449,                0.57928,                0.58897,                0.33382,                0.63549,                0.51699,                0.50214,                0.19969,                 1.6272,                 2.8316,                  1.388,                 1.7414,              0.0076141,              0.0076141,              0.0076141
                    244,                0.65962,                 1.1233,                0.41356,                0.92497,                0.68508,                0.56952,                0.58065,                0.33289,                0.63417,                0.52729,                0.49975,                 0.1993,                 1.6096,                 2.8515,                 1.3725,                 1.7399,              0.0076042,              0.0076042,              0.0076042
                    245,                0.66191,                  1.124,                0.41056,                0.92396,                0.71226,                0.53789,                0.59856,                0.35141,                0.64528,                0.51287,                0.52446,                0.21173,                 1.6134,                 2.8827,                 1.3702,                 1.7447,              0.0075943,              0.0075943,              0.0075943
                    246,                0.66122,                 1.1259,                0.41144,                0.92499,                0.68408,                0.56849,                0.60298,                0.36265,                0.65241,                0.52626,                0.53438,                0.21979,                 1.5828,                 2.8704,                  1.332,                 1.7147,              0.0075844,              0.0075844,              0.0075844
                    247,                0.66038,                 1.1186,                0.41025,                 0.9224,                0.69619,                0.57583,                0.62187,                0.36417,                0.63327,                0.52317,                0.52806,                0.21217,                 1.5901,                 2.8441,                  1.353,                 1.7009,              0.0075745,              0.0075745,              0.0075745
                    248,                0.65595,                 1.1137,                0.40633,                0.92408,                0.71521,                0.57261,                0.62192,                0.35467,                0.65666,                0.52787,                0.53322,                0.21336,                 1.6086,                 2.8897,                 1.3022,                 1.7299,              0.0075646,              0.0075646,              0.0075646
                    249,                0.65242,                 1.1187,                 0.4086,                0.92181,                0.68411,                0.58393,                0.61806,                0.35963,                0.62576,                0.53038,                0.52931,                0.21547,                 1.5942,                  2.945,                  1.282,                  1.718,              0.0075547,              0.0075547,              0.0075547
                    250,                0.65481,                   1.12,                0.41068,                 0.9254,                0.70639,                0.57261,                0.62315,                0.35936,                0.64175,                0.51081,                0.52701,                 0.2178,                 1.5832,                 2.9198,                 1.2346,                 1.7261,              0.0075448,              0.0075448,              0.0075448
                    251,                0.65226,                 1.1103,                0.40891,                0.92414,                 0.7091,                0.57055,                0.61593,                0.35726,                0.66103,                0.51699,                0.54028,                0.21507,                 1.5783,                   2.86,                 1.2968,                 1.7032,              0.0075349,              0.0075349,              0.0075349
                    252,                0.65572,                 1.1156,                0.40987,                0.92229,                0.66446,                0.57467,                0.60189,                0.34868,                0.60154,                0.54068,                  0.524,                0.21109,                 1.6164,                 2.8091,                  1.262,                 1.7389,               0.007525,               0.007525,               0.007525
                    253,                0.64425,                 1.1095,                0.40071,                0.91854,                0.65749,                 0.5829,                0.59435,                 0.3391,                0.61216,                0.53141,                0.50453,                0.20198,                 1.6276,                 2.8962,                 1.2217,                 1.7654,              0.0075151,              0.0075151,              0.0075151
                    254,                0.64792,                 1.1136,                0.40668,                0.91648,                0.66559,                0.57803,                0.59586,                0.34006,                0.61441,                0.54377,                0.51921,                0.20984,                 1.6037,                 2.8718,                 1.2804,                 1.7224,              0.0075052,              0.0075052,              0.0075052
                    255,                0.65359,                 1.1215,                 0.4099,                0.92034,                0.71955,                0.54274,                0.60592,                 0.3508,                0.62343,                0.52344,                0.52582,                  0.215,                 1.5936,                 2.8489,                 1.2642,                 1.7201,              0.0074953,              0.0074953,              0.0074953
