                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                 1.1833,                 2.0693,                0.87133,                 1.1742,                0.60907,                0.56746,                0.57337,                0.30427,                0.54725,                0.48423,                 0.4275,                0.15079,                 1.6065,                 2.4449,                 1.2129,                 1.5288,              0.0097822,              0.0097822,              0.0097822
                     25,                  1.185,                 2.0682,                0.87259,                 1.1714,                 0.6307,                0.60679,                0.60408,                0.32477,                0.58076,                0.51596,                0.47627,                0.17524,                 1.5691,                 2.3611,                 1.1723,                 1.5213,              0.0097723,              0.0097723,              0.0097723
                     26,                 1.1513,                 2.0063,                0.84151,                 1.1575,                0.59808,                0.59011,                0.54971,                0.28667,                0.53485,                0.53038,                0.41772,                0.15065,                  1.594,                 2.3707,                 1.3555,                  1.503,              0.0097624,              0.0097624,              0.0097624
                     27,                 1.1415,                 1.9976,                0.82332,                 1.1482,                0.62946,                0.57558,                0.59672,                0.33069,                0.54433,                0.50071,                0.46246,                0.17446,                 1.5756,                 2.3773,                 1.1963,                 1.5225,              0.0097525,              0.0097525,              0.0097525
                     28,                 1.1374,                 1.9823,                0.82768,                  1.151,                0.59981,                 0.6035,                0.57275,                0.30936,                0.58802,                0.49537,                0.46065,                0.17268,                 1.5508,                 2.4424,                 1.2773,                 1.5217,              0.0097426,              0.0097426,              0.0097426
                     29,                 1.1307,                 1.9752,                0.81026,                 1.1448,                 0.6211,                0.55819,                0.55056,                0.29963,                0.55407,                0.48198,                0.41999,                 0.1531,                 1.5813,                 2.4427,                 1.2942,                 1.5262,              0.0097327,              0.0097327,              0.0097327
                     30,                 1.1284,                 1.9614,                  0.805,                 1.1356,                0.67137,                0.59835,                0.61524,                0.32663,                0.60473,                0.53038,                0.49082,                0.17848,                 1.5623,                 2.3121,                 1.2187,                 1.5164,              0.0097228,              0.0097228,              0.0097228
                     31,                 1.1185,                  1.939,                0.78725,                 1.1346,                0.62946,                0.56643,                0.58183,                0.31421,                0.58588,                0.51578,                0.48831,                 0.1767,                  1.594,                 2.3971,                 1.2311,                 1.5391,              0.0097129,              0.0097129,              0.0097129
                     32,                 1.1152,                 1.9278,                0.78014,                 1.1379,                0.58003,                0.51596,                0.52024,                0.28254,                0.51434,                0.45726,                0.41228,                0.14756,                 1.5943,                 2.4084,                 1.3628,                 1.5601,               0.009703,               0.009703,               0.009703
                     33,                 1.0979,                 1.9181,                0.79062,                  1.129,                0.65525,                  0.597,                0.60055,                0.32852,                0.56369,                0.51493,                0.46568,                0.16631,                 1.5529,                 2.4075,                 1.1793,                 1.5202,              0.0096931,              0.0096931,              0.0096931
                     34,                 1.0918,                 1.9195,                0.77492,                 1.1249,                0.61803,                0.59011,                 0.5872,                0.30989,                0.55179,                0.50154,                0.45602,                0.16585,                  1.595,                 2.3636,                 1.2565,                 1.5507,              0.0096832,              0.0096832,              0.0096832
                     35,                 1.0907,                 1.8841,                0.76473,                 1.1261,                0.62868,                0.56494,                0.60152,                0.31562,                0.57943,                0.48919,                0.47386,                0.17715,                 1.6262,                 2.4446,                 1.1948,                 1.5776,              0.0096733,              0.0096733,              0.0096733
                     36,                 1.0866,                 1.8778,                0.75896,                 1.1221,                0.63753,                0.60659,                0.60385,                0.33077,                0.58295,                0.54583,                0.50293,                0.18669,                 1.5513,                 2.3414,                 1.1298,                  1.516,              0.0096634,              0.0096634,              0.0096634
                     37,                 1.0803,                 1.8516,                0.75497,                 1.1186,                 0.6304,                0.58599,                0.58931,                0.31606,                0.56068,                 0.5139,                0.46375,                0.17198,                 1.5718,                 2.3147,                 1.2419,                 1.5323,              0.0096535,              0.0096535,              0.0096535
                     38,                 1.0831,                 1.8608,                0.75548,                 1.1128,                0.63697,                0.60144,                0.62135,                 0.3443,                0.56933,                0.52111,                0.49511,                0.18427,                 1.5611,                 2.3521,                 1.1638,                 1.5028,              0.0096436,              0.0096436,              0.0096436
                     39,                 1.0671,                 1.8575,                0.75045,                 1.1071,                0.67872,                0.53141,                0.58189,                  0.316,                0.63493,                0.48404,                0.48055,                0.17064,                 1.5805,                 2.3496,                 1.2977,                 1.5281,              0.0096337,              0.0096337,              0.0096337
                     40,                 1.0598,                 1.8438,                0.73593,                 1.1009,                 0.6633,                0.59011,                  0.614,                  0.335,                0.59616,                0.53038,                0.49727,                0.18802,                 1.5547,                 2.3012,                 1.1677,                 1.5152,              0.0096238,              0.0096238,              0.0096238
                     41,                  1.056,                 1.8364,                0.72563,                 1.1093,                0.67808,                0.58702,                0.60381,                0.32907,                0.60611,                0.52111,                0.47362,                0.17536,                 1.5668,                 2.3688,                 1.1868,                 1.5499,              0.0096139,              0.0096139,              0.0096139
                     42,                 1.0466,                 1.8199,                0.72102,                 1.0963,                0.66023,                0.51802,                0.56023,                0.30504,                0.59952,                0.47683,                0.45164,                0.16916,                  1.611,                 2.4051,                 1.3294,                 1.5796,               0.009604,               0.009604,               0.009604
                     43,                 1.0427,                 1.8089,                0.71524,                 1.0959,                0.61756,                0.58908,                0.58061,                0.31729,                0.56231,                0.50674,                0.46759,                0.17299,                 1.5817,                 2.3544,                 1.2062,                 1.5382,              0.0095941,              0.0095941,              0.0095941
                     44,                 1.0303,                 1.8007,                0.71043,                 1.0936,                0.63359,                 0.5654,                0.56356,                0.30047,                 0.5725,                0.52317,                0.47086,                0.17209,                 1.5969,                 2.2917,                 1.2554,                 1.5656,              0.0095842,              0.0095842,              0.0095842
                     45,                 1.0292,                 1.7973,                0.70109,                 1.0923,                0.61446,                0.61998,                 0.5941,                0.32654,                0.57803,                0.56231,                0.50108,                0.18777,                 1.6161,                 2.3448,                 1.1973,                 1.5785,              0.0095743,              0.0095743,              0.0095743
                     46,                 1.0202,                 1.7529,                0.69147,                 1.0837,                0.66254,                0.57878,                0.58735,                0.31966,                0.59539,                0.50313,                0.46533,                0.17781,                 1.5877,                 2.3549,                 1.2345,                  1.579,              0.0095644,              0.0095644,              0.0095644
                     47,                 1.0361,                  1.801,                0.70437,                 1.0937,                0.68862,                 0.5757,                0.61771,                0.32804,                0.62703,                 0.5242,                0.50756,                0.18502,                  1.588,                 2.3181,                  1.185,                 1.5422,              0.0095545,              0.0095545,              0.0095545
